vedio_url,comment_user,content,comment_time,like_count,dislike_count,reply_count,post_like_count,post_dislike_count,post_comment_count,CrawlTime
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,Melvin Tejera,Classic still ,3 months ago,53,,1,58K,,358,1682965830055
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,Adam West,the whole album is classic!,2 years ago,36,,,58K,,358,1682965830559
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,사랑의교미,OMG Scorpion is free?? God bless Drake,2 years ago,587,,18,58K,,358,1682965830908
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,Don the Writer,"""I didn't have to cut the tie, it severed itself "" went over my head",1 month ago,17,,,58K,,358,1682965831197
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,Justin A,"This is classic man. People are gonna be talking about this 10 years from now. He's no shakespeare with his writing or even like J Cole, but Drake is an amazing artist.",4 years ago,120,,20,58K,,358,1682965831602
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,Luis Limas Brazoban,"I been waitin' on this",3 months ago,17,,1,58K,,358,1682965831951
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,Mary Jane Vassil-Bell,Intro sent chills up my spine ,1 month ago,4,,,58K,,358,1682965832437
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,Ashwind45,This song is really underrated,2 years ago,44,,8,58K,,358,1682965832640
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,Nick Petz,Possibly one of the greatest intros ever.,7 days ago,0,,,58K,,358,1682965832773
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,eric davis,"This was Drakes most concise album ever. It was so focused but steeped in darkness. Throughout the album you can hear him admit, while mentioning being involved in Xxxtentacions murder, his fued with Kanye was the entire first half of the album, and the coldness of steady hanging the fact that he slept with kim at some point. This shit is dark. Drake channeled some dark forces for this. But i appreciate it cuz i like dark shit. His best album to date.",2 years ago,26,,13,58K,,358,1682965833306
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,TRLED Record Label,This slaps harder than my dad's belt ,2 years ago,62,,1,58K,,358,1682965833412
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,A.P,I been waitin' on this,2 years ago,12,,,58K,,358,1682965833521
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,TheBestPlayerDead,“THERES a hole in my heart” felt that to the MF bone!!,1 month ago,0,,,58K,,358,1682965833734
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,OntheF69,This beat sounds like the music that plays at the character select screen when you pick your fighter in a video game ,2 years ago,11,,,58K,,358,1682965834119
https://www.youtube.com/watch?v=VtEBRE9ul90&list=OLAK5uy_nxmoDMMD7YOXBekv9Pt-55UoMI0tKDlyU,Josh Millan,The crown is broken in pieces but there’s more  in my possession,2 years ago,95,,,58K,,358,1682965834335
